id,xIndex,yIndex,AUTO,xcoord,ycoord,BOOL_ROAD,BOOL_RAILW,BOOL_WATER,start,end,cost
113,"9","9",93,2226414.602251000702381,6609745.396117866039276,"1","1","0","20.0002226599, 50.9346681219","18.4633480093, 54.2213179507",503978.957160834
114,"9","10",94,2215802.110943738371134,6531566.576284482143819,"1","1","0","19.9048890285, 50.489970935","18.4633480093, 54.2213179507",570744.031460778
115,"9","11",95,2205436.323039413895458,6454092.076864421367645,"1","1","1","19.8117715714, 50.0451117902","18.4633480093, 54.2213179507",628651.966972579
116,"9","12",96,2195325.947675387375057,6377317.198629458434880,"1","1","0","19.7209485242, 49.6001646557","18.4633480093, 54.2213179507",700878.087203381
117,"9","13",97,2203528.863111043814570,6330748.958640809170902,"1","1","0","19.7946365673, 49.3282836841","18.4633480093, 54.2213179507",758963.462523241
118,"10","1",98,2407419.762945102527738,7220130.303694439120591,"1","1","0","21.6262196834, 54.2630355291","18.4633480093, 54.2213179507",297775.29792404
119,"10","2",99,2392385.629374768584967,7165321.723003119230270,"1","1","0","21.4911657638, 53.9744648408","18.4633480093, 54.2213179507",288658.727693617
120,"10","3",100,2378934.939752598293126,7081950.306612975895405,"1","1","0","21.3703361631, 53.5316478932","18.4633480093, 54.2213179507",259541.552301389
121,"10","4",101,2365819.655514813493937,6999415.431474676355720,"1","1","0","21.2525195602, 53.0886650867","18.4633480093, 54.2213179507",423839.360873974
122,"10","5",102,2353027.866961352061480,6917695.162964424118400,"1","1","0","21.1376089685, 52.6455154104","18.4633480093, 54.2213179507",330889.863859383
123,"10","6",103,2340548.223200068809092,6836768.264128966256976,"1","1","1","21.0255024212, 52.202197574","18.4633480093, 54.2213179507",339961.207421163
124,"10","7",104,2328369.900157966651022,6756614.166286207735538,"1","1","1","20.916102684, 51.7587100234","18.4633480093, 54.2213179507",384090.143105375
125,"10","8",105,2316482.570746582467109,6677212.941039133816957,"1","1","0","20.809316987, 51.3150509554","18.4633480093, 54.2213179507",468108.229675095
126,"10","9",106,2304876.377015919890255,6598545.273628096096218,"1","1","0","20.7050567748, 50.8712183317","18.4633480093, 54.2213179507",522690.335537509
