id,xIndex,yIndex,AUTO,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE,start,end,cost
"181","13","13","160","1","1","0","5159532.72013, 3006073.56209","4888804.42546, 3496273.76387",710377.922142569
"183","14","1","161","1","0","0","5187119.46218, 3529311.31343","4888804.42546, 3496273.76387",405075.63673969
"184","14","2","162","1","1","0","5195132.5531, 3493942.70409","4888804.42546, 3496273.76387",405075.63673969
"185","14","3","163","1","1","0","5203428.12113, 3451480.6082","4888804.42546, 3496273.76387",405075.63673969
"186","14","4","164","1","1","0","5203968.96594, 3406968.32857","4888804.42546, 3496273.76387",429702.651699303
"187","14","5","165","1","1","0","5203968.96594, 3361968.32857","4888804.42546, 3496273.76387",444087.081887677
"188","14","6","166","1","1","0","5202897.82707, 3316572.08385","4888804.42546, 3496273.76387",533143.067385594
"189","14","7","167","1","1","0","5203968.96594, 3271968.32857","4888804.42546, 3496273.76387",547121.689716604
"190","14","8","168","1","1","0","5203968.96594, 3226968.32857","4888804.42546, 3496273.76387",559227.262698904
"191","14","9","169","1","1","0","5203968.96594, 3181968.32857","4888804.42546, 3496273.76387",561016.247977413
"192","14","10","170","1","1","0","5203968.96594, 3136968.32857","4888804.42546, 3496273.76387",638074.509279845
"193","14","11","171","1","1","0","5203968.96594, 3091968.32857","4888804.42546, 3496273.76387",643525.612327529
"194","14","12","172","1","1","0","5203968.96594, 3046968.32857","4888804.42546, 3496273.76387",669007.715085621
"195","14","13","173","1","1","0","5204160.67781, 3002189.62558","4888804.42546, 3496273.76387",706239.294514561
"196","14","14","174","0","1","0","5215475.33599, 2976306.05491","4888804.42546, 3496273.76387",706239.294514561
"199","15","3","175","0","0","0","5232437.64994, 3439904.47119","4888804.42546, 3496273.76387",429702.651699303
"200","15","4","176","1","1","0","5238742.72498, 3405209.92308","4888804.42546, 3496273.76387",444087.081887677
"201","15","5","177","0","1","0","5237767.84113, 3368194.53519","4888804.42546, 3496273.76387",533143.067385594
"202","15","6","178","1","1","0","5227344.16354, 3338237.54074","4888804.42546, 3496273.76387",533143.067385594
"202","15","6","179","1","1","0","5237832.68595, 3301739.52949","4888804.42546, 3496273.76387",547121.689716604
"203","15","7","180","1","1","0","5242962.832, 3271053.80024","4888804.42546, 3496273.76387",549890.780191402
"204","15","8","181","1","1","0","5247279.10445, 3226076.06676","4888804.42546, 3496273.76387",559227.262698904
"205","15","9","182","1","1","0","5248968.96594, 3181968.32857","4888804.42546, 3496273.76387",561016.247977413
"206","15","10","183","1","1","0","5248968.96594, 3136968.32857","4888804.42546, 3496273.76387",632222.956803288
"207","15","11","184","0","1","0","5248962.63983, 3091974.61397","4888804.42546, 3496273.76387",643525.612327529
"208","15","12","185","1","1","0","5242278.36995, 3050884.53064","4888804.42546, 3496273.76387",669007.715085621
"209","15","13","186","1","0","0","5233653.61894, 2998682.37058","4888804.42546, 3496273.76387",669007.715085621
"210","15","14","187","0","0","0","5239723.99542, 2972328.77394","4888804.42546, 3496273.76387",688152.705651657
"218","16","8","188","1","1","0","5276308.2105, 3209351.22702","4888804.42546, 3496273.76387",559227.262698904
"219","16","9","189","1","1","0","5288643.258, 3178962.7578","4888804.42546, 3496273.76387",628006.100033792
"220","16","10","190","1","1","0","5290727.91809, 3137781.25729","4888804.42546, 3496273.76387",632222.956803288
"221","16","11","191","1","1","0","5281265.08865, 3099904.82393","4888804.42546, 3496273.76387",643525.612327529
