id,xIndex,yIndex,AUTO,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE,start,end,cost
"278","7","26","138","1","1","0","4693968.96594, 3181968.32857","4873968.96594, 3511968.32857",522347.729614347
"279","7","27","139","1","1","0","4693968.96594, 3166968.32857","4873968.96594, 3511968.32857",528372.378958503
"280","7","28","140","0","0","0","4693968.96594, 3151968.32857","4873968.96594, 3511968.32857",531213.946822251
"281","7","29","141","1","1","0","4693968.96594, 3136968.32857","4873968.96594, 3511968.32857",527851.49937781
"282","7","30","142","1","1","0","4693968.96594, 3121968.32857","4873968.96594, 3511968.32857",559918.856942125
"283","7","31","143","0","1","0","4693968.96594, 3106968.32857","4873968.96594, 3511968.32857",607694.536450244
"284","7","32","144","0","1","0","4694243.44436, 3094347.93985","4873968.96594, 3511968.32857",602912.131290882
"299","8","5","145","0","0","0","4709847.52499, 3494518.18292","4873968.96594, 3511968.32857",200560.819192653
"300","8","6","146","0","0","0","4708968.96594, 3481968.32857","4873968.96594, 3511968.32857",200560.819192653
"301","8","7","147","1","1","0","4708968.96594, 3466968.32857","4873968.96594, 3511968.32857",205821.352787505
"302","8","8","148","1","1","0","4708968.96594, 3451968.32857","4873968.96594, 3511968.32857",216940.762701676
"303","8","9","149","0","1","0","4708968.96594, 3436968.32857","4873968.96594, 3511968.32857",230423.84937201
"304","8","10","150","0","1","0","4708968.96594, 3421968.32857","4873968.96594, 3511968.32857",240472.543560663
"305","8","11","151","0","0","0","4708968.96594, 3406968.32857","4873968.96594, 3511968.32857",250696.337945188
"306","8","12","152","1","1","0","4708968.96594, 3391968.32857","4873968.96594, 3511968.32857",250696.337945188
"307","8","13","153","1","1","0","4708968.96594, 3376968.32857","4873968.96594, 3511968.32857",286150.763554554
"308","8","14","154","1","1","0","4708968.96594, 3361968.32857","4873968.96594, 3511968.32857",282201.921992796
"309","8","15","155","0","0","0","4708968.96594, 3346968.32857","4873968.96594, 3511968.32857",298497.436345591
"310","8","16","156","1","1","0","4708968.96594, 3331968.32857","4873968.96594, 3511968.32857",290474.475460717
"311","8","17","157","0","1","0","4708968.96594, 3316968.32857","4873968.96594, 3511968.32857",287974.06764679
"312","8","18","158","0","0","0","4708968.96594, 3301968.32857","4873968.96594, 3511968.32857",378539.868457038
"313","8","19","159","1","1","0","4708968.96594, 3286968.32857","4873968.96594, 3511968.32857",369798.929909714
"314","8","20","160","1","1","0","4708968.96594, 3271968.32857","4873968.96594, 3511968.32857",380424.617682112
"315","8","21","161","1","1","0","4708968.96594, 3256968.32857","4873968.96594, 3511968.32857",386477.144821868
"316","8","22","162","1","1","0","4708968.96594, 3241968.32857","4873968.96594, 3511968.32857",481772.02045529
"317","8","23","163","1","1","0","4708968.96594, 3226968.32857","4873968.96594, 3511968.32857",473306.408784836
"318","8","24","164","1","1","0","4708968.96594, 3211968.32857","4873968.96594, 3511968.32857",450053.32134153
"319","8","25","165","1","1","0","4708968.96594, 3196968.32857","4873968.96594, 3511968.32857",438343.938425167
"320","8","26","166","1","1","0","4708968.96594, 3181968.32857","4873968.96594, 3511968.32857",533426.549182008
"321","8","27","167","1","1","0","4708968.96594, 3166968.32857","4873968.96594, 3511968.32857",515203.84087973
"322","8","28","168","1","1","0","4708968.96594, 3151968.32857","4873968.96594, 3511968.32857",507313.142506496
"323","8","29","169","1","1","0","4708968.96594, 3136968.32857","4873968.96594, 3511968.32857",510619.760120521
"324","8","30","170","1","1","0","4708968.96594, 3121968.32857","4873968.96594, 3511968.32857",548940.933548401
"325","8","31","171","1","1","0","4708968.96594, 3106968.32857","4873968.96594, 3511968.32857",586007.958059371
"326","8","32","172","1","1","0","4709194.02523, 3093231.77996","4873968.96594, 3511968.32857",595027.331720534
"340","9","4","173","0","0","0","4727855.52184, 3506110.73189","4873968.96594, 3511968.32857",168097.012038237
"341","9","5","174","0","0","0","4724077.71022, 3496846.13089","4873968.96594, 3511968.32857",168097.012038237
"342","9","6","175","1","1","0","4723968.96594, 3481968.32857","4873968.96594, 3511968.32857",182941.180258184
"343","9","7","176","1","1","0","4723968.96594, 3466968.32857","4873968.96594, 3511968.32857",193061.687390962
"344","9","8","177","0","1","0","4723968.96594, 3451968.32857","4873968.96594, 3511968.32857",221020.945113287
"345","9","9","178","0","1","0","4723968.96594, 3436968.32857","4873968.96594, 3511968.32857",227645.234863259
"346","9","10","179","0","0","0","4723968.96594, 3421968.32857","4873968.96594, 3511968.32857",232569.590127694
"347","9","11","180","1","0","0","4723968.96594, 3406968.32857","4873968.96594, 3511968.32857",235935.461486389
"348","9","12","181","1","1","0","4723968.96594, 3391968.32857","4873968.96594, 3511968.32857",235935.461486389
"349","9","13","182","1","0","0","4723968.96594, 3376968.32857","4873968.96594, 3511968.32857",272356.333626743
"350","9","14","183","0","1","0","4723968.96594, 3361968.32857","4873968.96594, 3511968.32857",265810.130751348
"351","9","15","184","1","0","0","4723968.96594, 3346968.32857","4873968.96594, 3511968.32857",265810.130751348
"352","9","16","185","1","1","0","4723968.96594, 3331968.32857","4873968.96594, 3511968.32857",279558.074183489
"353","9","17","186","0","1","0","4723968.96594, 3316968.32857","4873968.96594, 3511968.32857",274121.807912269
"354","9","18","187","0","0","0","4723968.96594, 3301968.32857","4873968.96594, 3511968.32857",381088.93505588
"355","9","19","188","1","1","0","4723968.96594, 3286968.32857","4873968.96594, 3511968.32857",383303.366334506
"356","9","20","189","1","0","0","4723968.96594, 3271968.32857","4873968.96594, 3511968.32857",386045.412978893
"357","9","21","190","1","1","0","4723968.96594, 3256968.32857","4873968.96594, 3511968.32857",368533.72844039
"358","9","22","191","1","1","0","4723968.96594, 3241968.32857","4873968.96594, 3511968.32857",374702.736000322
"359","9","23","192","1","0","0","4723968.96594, 3226968.32857","4873968.96594, 3511968.32857",370932.897151895
"360","9","24","193","0","0","0","4723968.96594, 3211968.32857","4873968.96594, 3511968.32857",446202.08260644
"361","9","25","194","1","1","0","4723968.96594, 3196968.32857","4873968.96594, 3511968.32857",429440.955111662
"362","9","26","195","1","0","0","4723968.96594, 3181968.32857","4873968.96594, 3511968.32857",424169.699106309
"363","9","27","196","1","1","0","4723968.96594, 3166968.32857","4873968.96594, 3511968.32857",504064.642987176
"364","9","28","197","1","1","0","4723968.96594, 3151968.32857","4873968.96594, 3511968.32857",494275.841968184
"365","9","29","198","1","1","0","4723968.96594, 3136968.32857","4873968.96594, 3511968.32857",493216.934528103
"366","9","30","199","0","1","0","4723968.96594, 3121968.32857","4873968.96594, 3511968.32857",558056.507897326
"367","9","31","200","1","1","0","4723968.96594, 3106968.32857","4873968.96594, 3511968.32857",573470.614855801
"368","9","32","201","0","1","0","4724105.50851, 3092192.07754","4873968.96594, 3511968.32857",579548.41200552
"369","9","33","202","0","0","0","4729685.15248, 3084201.98159","4873968.96594, 3511968.32857",568468.612559641
"382","10","4","203","0","0","0","4739991.30293, 3508868.74428","4873968.96594, 3511968.32857",168097.012038237
"383","10","5","204","1","1","0","4738968.96594, 3496968.32857","4873968.96594, 3511968.32857",165219.022844147
"384","10","6","205","1","1","0","4738968.96594, 3481968.32857","4873968.96594, 3511968.32857",171231.632321188
"385","10","7","206","1","0","0","4738968.96594, 3466968.32857","4873968.96594, 3511968.32857",178579.570184148
